deviceid,latitude,longitude,datetime,leaving_datetime,cluster,category
319,37.635229,127.0148145,2019-12-07 19:06:59,2019-12-08 10:31:16,0,none
319,37.586893,127.0186185,2019-12-09 12:07:10,2019-12-09 14:54:33,1,"공공,사회기관>행정복지센터"
319,37.586348,127.0151635,2019-12-15 12:19:20,2019-12-15 14:18:29,2,"교육,학문>고등학교"
319,37.625584,127.017782,2019-12-11 14:29:12,2019-12-11 16:26:39,3,"쇼핑,유통>슈퍼,마트"
319,37.634674,127.012388,2019-12-14 16:01:49,2019-12-14 16:40:10,4,"교육,학문>대학원"
319,37.581863,127.017044,2019-12-15 16:38:43,2019-12-15 17:15:02,5,"교육,학문>초등학교"
319,37.632572,127.014577,2019-12-14 14:49:52,2019-12-14 16:01:49,6,none
319,37.5799815,127.0036555,2019-12-13 17:06:37,2019-12-13 18:25:17,7,술집>요리주점
319,37.590897,127.012741,2019-12-12 12:07:54,2019-12-12 13:26:06,8,"공공,사회기관>행정복지센터"
319,37.637156,127.017309,2019-12-07 16:45:05,2019-12-07 17:58:43,9,"공공,사회기관>행정복지센터"
319,37.592762,127.01696,2019-12-06 14:29:21,2019-12-06 14:59:24,10,"문화,예술>영화관"
319,37.581863,127.021835,2019-12-15 15:41:38,2019-12-15 16:12:07,11,반려동물용품>애견용품
319,37.640117,127.012906,2019-12-14 18:46:33,2019-12-14 19:36:56,12,"공공,사회기관>행정복지센터"
319,37.618078,127.021702,2019-12-14 03:10:44,2019-12-14 03:59:15,13,양식>햄버거
319,37.5877545,127.007866,2019-12-13 22:11:06,2019-12-14 02:03:08,14,"공공,사회기관>행정복지센터"
319,37.5865155,127.0003665,2019-12-13 19:30:20,2019-12-13 22:02:02,15,"공공,사회기관>행정복지센터"
319,37.66285,127.012715,2019-12-13 14:28:43,2019-12-13 15:31:19,16,"교통,운수>지하철,전철"
319,37.644863,127.033753,2019-12-12 22:37:55,2019-12-13 00:21:48,17,주택>아파트
319,37.635171,127.019606,2019-12-10 09:50:07,2019-12-11 11:01:10,18,"시설,건물>기업,빌딩"
319,37.500995,127.010915,2019-12-08 12:10:40,2019-12-08 17:53:31,19,종교>개신교
319,37.642292,127.016529,2019-12-07 13:47:17,2019-12-07 14:38:45,20,"공공,사회기관>행정복지센터"
319,37.643845,127.021311,2019-12-06 17:54:23,2019-12-06 20:54:17,21,"공공,사회기관>행정복지센터"
