deviceid,latitude,longitude,datetime,leaving_datetime,cluster,category
397,37.5836303,126.892912,2021-01-14 09:40:13,2021-01-14 16:32:52,0,none
397,37.50894975,126.8899478,2021-02-08 11:14:32,2021-02-08 12:19:38,1,"쇼핑,유통>백화점"
397,37.49911575,127.03233725,2021-01-28 09:06:21,2021-01-28 12:03:44,2,"시설,건물>기업,빌딩"
397,37.5569651,126.9362019,2021-02-08 05:49:09,2021-02-08 07:14:44,3,"사진,스튜디오>셀프,대여스튜디오"
397,35.396379,129.1647367,2021-02-10 07:05:19,2021-02-11 08:14:15,4,주택>아파트
397,35.4072986,129.1646579,2021-02-10 06:00:25,2021-02-10 07:00:59,5,한식>갈비탕
397,35.34798845,129.1613077,2021-02-10 04:57:32,2021-02-10 05:41:18,6,장례>묘지
397,36.3450409,128.2967935,2021-02-10 01:55:04,2021-02-10 02:34:05,7,"교통,운수서비스>전기차충전소"
397,37.49645975,126.8362336,2021-02-08 13:17:01,2021-02-08 14:54:07,8,"시설,건물>주택"
397,37.5562916,126.9404483,2021-02-07 08:49:58,2021-02-07 11:35:27,9,"교통,운수>공영주차장"
397,37.5136544,127.1032592,2021-02-07 04:33:02,2021-02-07 06:20:35,10,주택>오피스텔
397,37.61310455,126.85587985,2021-01-16 03:23:46,2021-01-16 03:59:17,11,none
397,37.58503315,126.87970225,2021-01-16 01:50:57,2021-01-16 02:32:05,12,"시설,건물>기업,빌딩"
397,37.5638052,126.9384444,2021-01-14 06:53:07,2021-01-14 08:49:24,13,"건강,의료>종합병원"
