deviceid,latitude,longitude,datetime,leaving_datetime,cluster,category
212,37.5409007,127.0720626,2019-11-25 11:42:14,2019-11-25 12:58:02,9,병원>종합병원
212,37.54060665,127.0686908,2019-11-25 12:58:02,2019-11-25 13:35:01,8,"공공,사회기관>행정복지센터"
212,37.5705716,126.9814736,2019-11-21 18:29:14,2019-11-21 19:17:25,10,"육류,고기요리>소고기구이"
212,37.5700415,126.9875164,2019-11-21 17:27:50,2019-11-21 18:12:41,11,"생활,편의>복권,로또"
212,37.5270133,126.89369745,2019-11-27 12:35:38,2019-11-27 13:10:27,5,종교>개신교
212,37.5868452,127.0235916,2019-11-28 09:25:01,2019-11-28 10:12:32,4,"공공,사회기관>행정복지센터"
212,37.5706806,126.97308,2019-11-21 19:24:52,2019-11-21 20:24:10,6,"시설,건물>기업,빌딩"
212,37.5650923,126.98799855,2019-11-25 17:06:24,2019-11-25 19:55:09,7,"시설,건물>기업,빌딩"
212,37.5905174,127.0110729,2019-11-23 15:18:42,2019-11-23 16:48:27,3,"공공,사회기관>행정복지센터"
212,37.56509215,127.0363505,2019-11-22 13:19:06,2019-11-22 14:13:56,2,수선>구두수선
212,37.63757355,127.0697243,2019-11-22 08:05:56,2019-11-22 10:24:19,0,주택>아파트
212,37.5613835,127.03832375,2019-11-22 15:57:37,2019-11-22 17:06:03,1,"육류,고기요리>찜닭"
