deviceid,latitude,longitude,datetime,leaving_datetime,cluster,category
58,37.532769,126.9945249,2019-10-29 18:57:07,2019-10-29 20:09:52,9,"공공,사회기관>행정복지센터"
58,37.54508975,127.05744095,2019-10-31 18:21:28,2019-10-31 19:29:37,8,수선>구두수선
58,37.700703,127.1944293,2019-10-26 15:19:25,2019-10-26 16:29:05,12,none
58,37.6971704,127.2048052,2019-10-27 12:07:56,2019-10-27 12:38:53,10,"시설,건물>기업,빌딩"
58,37.7449266,127.2010691,2019-10-27 01:00:06,2019-10-27 01:57:09,11,none
58,37.5396242,126.9897018,2019-10-29 20:43:42,2019-10-30 11:42:00,5,none
58,37.5777168,126.98062265,2019-10-30 13:02:15,2019-10-30 13:56:04,4,"공공,사회기관>행정복지센터"
58,37.6843391,127.24247475,2019-10-27 02:12:23,2019-10-27 08:21:11,6,숙박>펜션
58,37.5419182,127.0494237,2019-11-02 09:30:10,2019-11-02 11:57:57,7,"공공,사회기관>행정복지센터"
58,37.648517850000005,127.0411677,2019-10-25 11:03:43,2019-10-25 12:41:55,3,"공공,사회기관>행정복지센터"
58,37.6456909,127.2375849,2019-10-25 21:34:14,2019-10-26 11:00:17,2,주택>아파트
58,37.54638265,127.0537994,2019-10-30 16:20:03,2019-10-30 17:06:37,0,종교>개신교
58,37.5614741,127.05496915,2019-10-27 15:25:09,2019-10-28 08:12:25,1,none
