deviceid,latitude,longitude,datetime,leaving_datetime,cluster,category
273,37.5893293,127.016419,2019-12-02 13:29:17,2019-12-03 12:14:08,0,"공공,사회기관>구청"
273,37.6360877,127.0227343,2019-11-30 20:48:18,2019-12-01 00:07:29,1,일식>일식당
273,37.5664206,126.977789,2019-11-27 17:22:43,2019-11-27 17:54:28,2,"공공,사회기관>특별,광역시청"
273,37.6393749,127.0225747,2019-11-30 17:18:57,2019-11-30 19:12:02,3,none
273,37.58117695,127.00226965,2019-11-30 14:07:00,2019-11-30 16:30:50,4,"공공,사회기관>행정복지센터"
273,37.5915614,127.0171893,2019-11-26 19:00:47,2019-11-26 22:04:27,5,술집>요리주점
273,37.5615122,127.03812175,2019-12-03 16:41:23,2019-12-03 19:22:27,6,"육류,고기요리>찜닭"
273,37.5465973,127.0520204,2019-12-03 13:26:01,2019-12-03 16:18:51,7,"시설,건물>기업,빌딩"
273,37.5907099,127.0108235,2019-12-02 11:25:10,2019-12-02 12:01:26,8,"공공,사회기관>행정복지센터"
273,37.5683166,126.9786665,2019-11-27 17:54:28,2019-11-27 20:18:55,9,"시설,건물>기업,빌딩"
273,37.4999865,126.8837328,2019-11-27 10:45:04,2019-11-27 13:14:24,10,none
