deviceid,latitude,longitude,datetime,leaving_datetime,cluster,category
128,37.54564310000001,127.0424124,2019-11-13 12:45:16,2019-11-13 14:18:36,9,"음식점>치킨,닭강정"
128,37.40844865,127.1441693,2019-11-15 14:44:30,2019-11-15 16:23:18,8,"사회,복지>장애인종합복지관"
128,37.5631664,127.036261,2019-11-12 12:23:50,2019-11-12 13:09:17,10,"공공,사회기관>행정복지센터"
128,37.5672715,127.0530629,2019-11-11 18:11:08,2019-11-11 18:47:52,11,none
128,37.58374325,126.9712341,2019-11-16 10:52:16,2019-11-16 11:53:23,5,"공공,사회기관>행정복지센터"
128,37.5801189,126.9711747,2019-11-16 12:06:22,2019-11-16 12:54:28,4,"공공,사회기관>행정복지센터"
128,37.53837515,127.12394405,2019-11-15 20:20:43,2019-11-15 20:57:02,6,none
128,37.4653386,127.12722855,2019-11-15 16:37:18,2019-11-15 19:27:22,7,"공공,사회기관>행정복지센터"
128,37.5700358,127.0333481,2019-11-18 14:34:02,2019-11-18 17:23:10,3,"쇼핑,유통>건강,의료용품"
128,37.5614305,127.0383444,2019-11-18 17:35:12,2019-11-19 10:38:36,2,"육류,고기요리>찜닭"
128,37.5679793,127.06123425,2019-11-13 21:58:34,2019-11-15 13:42:21,0,주택>아파트
128,37.565092250000006,127.03634775,2019-11-12 14:37:03,2019-11-12 16:28:17,1,수선>구두수선
